name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value,ds_id,ds_qid
"Verstegen, Richard ca. 1550-1640",author,,,human,Richard Rowlands,Q656317,DSNAME5374,Q41819
"Verstegen, Richard ca. 1550-1640.",author,,,human,Richard Rowlands,Q656317,DSNAME5374,Q41819
"Veruela (Monastery : Tarazona de Aragón, Spain)",author,,,organization,Veruela Abbey,Q125335,DSNAME5617,Q42062
"Vesalius, Andreas, 1514-1564",author,,,human,Andreas Vesalius,Q170267,DSNAME8549,Q76664
Vesconte Maggiolo,author,,,human,Visconte Maggiolo,Q2521066,DSNAME4737,Q41182
"Vestri, Michele",scribe,,,human,Michele Vestri,Q116648473,DSNAME1291,Q7039
"Vettori, Pietro, 1499-1585",author,,,human,Piero Vettori,Q784373,DSNAME1592,Q8083
"Vettori, Pietro, 1499-1585",author,,http://id.loc.gov/authorities/names/n81032116,human,Piero Vettori,Q784373,DSNAME1592,Q8083
"Veysî, 1561-1628",author,ويسي,,human,Veysî,Q6101477,DSNAME6714,Q54695
"Victor, Sextus Aurelius",author,,,human,Aurelius Victor,Q275606,DSNAME1211,Q6090
"Victor Child Villiers, 7th Earl of Jersey",former owner,,,human,"Victor Child Villiers, 7th Earl of Jersey",Q336737,DSNAME237,Q841
"Victorinus, Marius",author,,,human,Gaius Marius Victorinus,Q708247,DSNAME4760,Q41205
"Victorinus, Marius.",author,,,human,Gaius Marius Victorinus,Q708247,DSNAME4760,Q41205
"Vida, Marco Girolamo",author,,http://viaf.org/viaf/100162370,human,Marco Girolamo Vida,Q1340193,DSNAME871,Q3272
"Vida, Marco Girolamo, approximately 1485-1566",author,,,human,Marco Girolamo Vida,Q1340193,DSNAME871,Q3272
"Vida, Marco Girolamo, approximately 1485-1566",author,,http://id.loc.gov/authorities/names/n84153992,human,Marco Girolamo Vida,Q1340193,DSNAME871,Q3272
"Vidyāpati, active 17th century-18th century",author,,http://id.loc.gov/authorities/names/n91022518,human,Vidyāpati,Q124252960,DSNAME3454,Q28238
"Vieira, António, 1608-1697",author,,,human,António Vieira,Q458650,DSNAME6085,Q42777
Vigliano d'Asti (Italy),author,,,organization,Vigliano d'Asti,Q17880,DSNAME1418,Q7580
Vijñānātman,author,,http://id.loc.gov/authorities/names/n2007217560,human,Vijñānātman,Q124252961,DSNAME3477,Q28261
"Vijñāneśvara, active 11th century",author,,http://id.loc.gov/authorities/names/n84102475,human,Vijñāneśvara,Q16886346,DSNAME3596,Q28380
"Villabalzana, Christianus Joannes de",author,,,human,Christianus Joannes de Villabalzana,Q116646749,DSNAME1033,Q4397
"Villagran, Raul A",former owner,,,human,Raul A. Villagran,Q114242420,DSNAME2531,Q17739
"Villana, Eugenia",scribe,,,human,Eugenia Villana,Q131623219,DSNAME7190,Q67436
"Villani, Giovanni d. 1348",author,,,human,Giovanni Villani,Q704179,DSNAME5375,Q41820
"Villani, Giovanni d. 1348.",author,,,human,Giovanni Villani,Q704179,DSNAME5375,Q41820
"Villanis, Bassianus de, active 1480",scribe,,,human,Bassianus de Villanis,Q131623252,DSNAME7223,Q67469
"Villard, de Honnecourt, active 13th century",illuminator,,,human,Villard de Honnecourt,Q366502,DSNAME5376,Q41821
"Villegas, Antonio de",author,,,human,Antonio de Villegas,Q8201872,DSNAME6086,Q42778
"Villena, Enrique de, 1384-1434",author,,,human,Enrique de Villena,Q281456,DSNAME7956,Q68566
"Villeroi, Nicolas de Neufville, seigneur de, 1542-1617",author,,http://id.loc.gov/authorities/names/nr93010206,human,"Nicolas de Neufville, seigneur de Villeroy",Q1741177,DSNAME1569,Q7931
"Villeroi, Nicolas de Neufville, seigneur de, 1542-1617",author,,,human,"Nicolas de Neufville, seigneur de Villeroy",Q1741177,DSNAME1569,Q7931
"Villeroy, François de Neufville, maréchal de, 1643-1730",former owner,,,human,"François de Neufville, duc de Villeroi",Q453571,DSNAME5377,Q41822
"Vimercati Sozzi, Paolo, 1801-1883",former owner,,,human,Paolo Vimercati Sozzi,Q65010835,DSNAME1492,Q7653
"Vimercati Sozzi, Paolo, 1801-1883",former owner,,http://id.loc.gov/authorities/names/no2017163771,human,Paolo Vimercati Sozzi,Q65010835,DSNAME1492,Q7653
"Vimercati-Sozzi, Paolo, conte, 1801-1883",former owner,,,human,Paolo Vimercati Sozzi,Q65010835,DSNAME1492,Q7653
"Vincent, Antoine, active 15th century",author,,,human,Antoine Vincent,Q127510450,DSNAME6087,Q42779
"Vincent, of Beauvais, -1264",author,,http://id.loc.gov/authorities/names/n80150235,human,Vincent of Beauvais,Q455162,DSNAME108,Q381
"Vincent, of Beauvais, -1264",author,,,human,Vincent of Beauvais,Q455162,DSNAME108,Q381
Vincent Ferrer,author,,,human,Vincent Ferrer,Q317131,DSNAME5378,Q41823
Vincent Ferrer Saint ca. 1350-1419,author,,,human,Vincent Ferrer,Q317131,DSNAME5378,Q41823
Vincent Ferrer Saint ca. 1350-1419.,author,,,human,Vincent Ferrer,Q317131,DSNAME5378,Q41823
"Vincentius, de Alba",scribe,,,human,Vincentius de Alba,Q116648605,DSNAME1697,Q8412
Vincent of Beauvais,author,,,human,Vincent of Beauvais,Q455162,DSNAME108,Q381
Vincent of Beauvais d. 1264,author,,,human,Vincent of Beauvais,Q455162,DSNAME108,Q381
Vincent of Beauvais d. 1264.,author,,,human,Vincent of Beauvais,Q455162,DSNAME108,Q381
Vincent Starrett,former owner,,,human,Vincent Starrett,Q2526744,DSNAME5379,Q41824
"Vincenzo I Gonzaga, Duke of Mantua, 1562-1612",author,,http://id.loc.gov/authorities/names/n93062998,human,Vincenzo Gonzaga,Q452580,DSNAME757,Q2867
"Vincenzo I Gonzaga, Duke of Mantua, 1562-1612",author,,,human,Vincenzo Gonzaga,Q452580,DSNAME757,Q2867
"Vinnen, Marceiu",author,,,human,Marceiu Vinnen,Q116650398,DSNAME1049,Q4413
"Vinsterwalder, Hans, active 1525-1527",author,,,human,Hans Vinsterwalder,Q127510453,DSNAME6088,Q42780
"Viollet, Paul, 1840-1914",former owner,,,human,Paul Viollet,Q1216036,DSNAME5380,Q41825
Virgil,author,,,human,Virgil,Q1398,DSNAME1554,Q6128
Virgil,author,,http://id.loc.gov/authorities/names/n79014062,human,Virgil,Q1398,DSNAME1554,Q6128
Virgil.,author,,,human,Virgil,Q1398,DSNAME1554,Q6128
"Viṣāl Shīrāzī, Muḥammad Shafīʻ ibn Muḥammad Ismāʻīl, 1782 or 1783-1845 or 1846",author,وصال شيرازى، محمد شفيع بن محمد اسماعيل،,,human,Vesal Shirazi,Q5960972,DSNAME2668,Q18715
"Vischer, Johannes",scribe,,,human,Johannes Vischer,Q1390484,DSNAME1428,Q7589
"Visconti di Modrone, C., Duke",former owner,,,human,Duke C. Visconti di Modrone,Q122873538,DSNAME2806,Q20125
"Visconti Modrone, C. Duca",former owner,,,human,C. Duca Visconti Modrone,Q131856745,DSNAME8022,Q68632
Viscount Lymington,former owner,,,human,"John Wallop, Viscount Lymington",Q6262841,DSNAME2534,Q17742
Viṣṇu,author,,http://id.loc.gov/authorities/names/n98922947,human,Viṣṇu,Q124252967,DSNAME3603,Q28387
Viṣṇubhaṭṭa,scribe,,http://id.loc.gov/authorities/names/n91065019,human,Viṣṇubhaṭṭa,Q124252968,DSNAME3294,Q28078
Viśvāmitra,author,,http://id.loc.gov/authorities/names/n89102108,human,Vishvamitra,Q2773345,DSNAME3605,Q28389
"Viśvanātha, active 17th century",author,,http://id.loc.gov/authorities/names/n89277430,human,Viśvanātha,Q124252964,DSNAME3430,Q28214
"Viśvanāthabhaṭṭa, active 1650-1709",scribe,,http://id.loc.gov/authorities/names/n80142348,human,Viśvanāthabhaṭṭa,Q124252966,DSNAME3598,Q28382
Viśvanātha Daivajña,author,,http://id.loc.gov/authorities/names/n84041290,human,Viśvanātha Daivajña,Q124252962,DSNAME3436,Q28220
Viśvanātha Kavirāja,author,,http://id.loc.gov/authorities/names/n82115367,human,Viswanatha Kaviraja,Q7936667,DSNAME3401,Q28185
Viśvanātha Nyāyapañcānana Bhaṭṭācārya,author,,http://id.loc.gov/authorities/names/n82010007,human,Viśvanātha Nyāyapañcānana Bhaṭṭācārya,Q124252963,DSNAME3425,Q28209
"Vital, Ḥayyim ben Joseph, 1542 or 1543-1620",author,"ויטל, חיים בן יוסף, 1542 or 1543-1620",,human,Hayyim ben Joseph Vital,Q2302424,DSNAME8159,Q75576
"Vital, Ḥayyim ben Joseph, 1542 or 1543-1620",author,"ויטאל, חיים בן יוסף, 1542 or 1543-1620",,human,Hayyim ben Joseph Vital,Q2302424,DSNAME8159,Q75576
"Vital, Ḥayyim ben Joseph, 1542 or 1543-1620",author,"ויטאל, חיים בן יוסף, 1542 או 3־1620, 1542 or 1543-1620",,human,Hayyim ben Joseph Vital,Q2302424,DSNAME8159,Q75576
"Vital, Ḥayyim ben Joseph, 1542 or 1543-1620",author,"ויטאל, חיים, 1542 or 1543-1620",,human,Hayyim ben Joseph Vital,Q2302424,DSNAME8159,Q75576
"Vital, Ḥayyim ben Joseph, 1542 or 1543-1620",author,"וויטאל, חיים בן יוסף, 1542 or 1543-1620",,human,Hayyim ben Joseph Vital,Q2302424,DSNAME8159,Q75576
"Vital, Ḥayyim ben Joseph, 1542 or 1543-1620",author,"ויטאל, חיים בן יוסף, 1542 או 1543־1620",,human,Hayyim ben Joseph Vital,Q2302424,DSNAME8159,Q75576
"Vital, Ḥayyim ben Joseph, 1542 or 1543-1620",author,"ויטאל, חיים בן יוסף, 1542 או 3־1620",,human,Hayyim ben Joseph Vital,Q2302424,DSNAME8159,Q75576
"Vitale, Giovanni",author,,,human,Giovanni Vitale,Q124566972,DSNAME5381,Q41826
"Ṿiṭmayer, Meʼir Tsevi ben Gavriʼel",author,"וויטמאיר, מאיר צבי בן גבריאל",,human,Meʼir Tsevi ben Gavriʼel Ṿiṭmayer,Q132752883,DSNAME8230,Q75643
Vitruvius Pollio,author,,,human,Vitruvius,Q47163,DSNAME6089,Q42781
"Viṭṭhaladīkṣita, active 17th century",author,,http://id.loc.gov/authorities/names/n2005207364,human,Viṭṭhaladīkṣita,Q124252969,DSNAME3351,Q28135
"Vitus, Saint, -approximately 300",associated name,,,human,Vitus,Q212850,DSNAME5382,Q41827
"Vitus, Saint, -approximately 300.",associated name,,,human,Vitus,Q212850,DSNAME5382,Q41827
"Vivar, Jerónimo de",author,,,human,Jerónimo de Vivar,Q6185675,DSNAME7420,Q67666
"Vives, Juan Luis, 1492-1540",author,,,human,Juan Luis Vives,Q316357,DSNAME7370,Q67616
"Viviens, Johannes",former owner,,,human,Johannes Vivianus,Q94930024,DSNAME8072,Q68776
"Volčić, Vicko Dimitrije, 1563-1607",author,,,human,Vicko Dimitrije Volčić,Q12644616,DSNAME5383,Q41828
"Volcius, Vicentius Demetrius, fl. 1563-1607",author,,,human,Vicentius Demetrius Volcius,Q131623226,DSNAME7197,Q67443
"Vollbehr, Otto H. F. 1869-1946",former owner,,,human,Otto Vollbehr,Q23906104,DSNAME138,Q411
"Vollbehr, Otto H. F. 1869-1946",former owner,,http://id.loc.gov/authorities/names/n89103791,human,Otto Vollbehr,Q23906104,DSNAME138,Q411
"Volpe, Galuccio Trevisono",author,,,human,Galuccio Trevisono Volpe,Q116650301,DSNAME1050,Q4414
"Volpi, Benedetto",author,,,human,Benedetto Volpi,Q124566973,DSNAME5384,Q41829
Volpi family,former owner,,,organization,Volpi,Q55064134,DSNAME5618,Q42063
"von Kniestedt, Eberhard",former owner,,,human,Eberhard von Kniestedt,Q55895566,DSNAME2940,Q20255
"Von Scherling, E",former owner,,,human,Erik von Scherling,Q116780057,DSNAME564,Q1799
Vopadeva,author,वोपदेव,http://id.loc.gov/authorities/names/n90702643,human,Vopadeva,Q3449795,DSNAME3298,Q28082
Vopadeva,author,,http://id.loc.gov/authorities/names/n90702643,human,Vopadeva,Q3449795,DSNAME3298,Q28082
"Vorssel, Clara von (Sister)",former owner,,,human,Clara von Vorssel,Q124380445,DSNAME5385,Q41830
"Voynich, Arno M",former owner,,,human,Arno M. Voynich,Q122873539,DSNAME2895,Q20211
"Voynich, Arno M.",former owner,,,human,Arno M. Voynich,Q122873539,DSNAME2895,Q20211
"Voynich, Wilfred Michael, 1865-1930",former owner,,,human,Wilfrid Voynich,Q336453,DSNAME403,Q1567
"Voynich, Wilfred Michael, 1865-1930",former owner,,http://id.loc.gov/authorities/names/n88244649,human,Wilfrid Voynich,Q336453,DSNAME403,Q1567
"Vrelant, Guillaume, -1481",artist,,,human,Willem Vrelant,Q363720,DSNAME595,Q1830
"Vrelant, Guillaume, -1481, workshop",artist,,,human,Willem Vrelant,Q363720,DSNAME595,Q1830
"Vremans, Anna",former owner,,,human,Anna Vremans,Q122873541,DSNAME2951,Q20263
Vyāsa,author,,http://id.loc.gov/authorities/names/n79109341,human,Vyasa,Q2535538,DSNAME3341,Q28125
"Vyfyan, John",former owner,,,human,John Vyfyan,Q123378493,DSNAME2479,Q17688
"Vyncent, Richard, vicar of Wolford",other,,,human,Richard Vyncent,Q117324262,DSNAME5386,Q41831
Vyšší Brod (Monastery),former owner,,,organization,Vyšší Brod Cistercian Abbey,Q675724,DSNAME1991,Q12804
Vyšší Brod (Monastery),former owner,,,organization,Vyšší Brod Cistercian Abbey,Q675724,DSNAME1991,Q12804
W.C. Crane,former owner,,,human,Warren C. Crane,Q122873300,DSNAME2839,Q20157
W. H. Crain,former owner,,,human,William H. Crain,Q2579042,DSNAME2552,Q17760
Wace,author,,,human,Wace,Q5382,DSNAME5387,Q41832
"Wace, approximately 1100-approximately 1175",author,,,human,Wace,Q5382,DSNAME5387,Q41832
"Wadsworth, Frederick Arthur, 1871-",former owner,,,human,Frederick Arthur Wadsworth,Q123852067,DSNAME3066,Q27855
"Wafā, Muḥammad, 1302 or 1303-1363",author,وفاء، محمد، 1302 or 3-1363,,human,Muḥammad Wafā,Q120599173,DSNAME7612,Q68222
"Wafāʼī, Muḥammad ibn Ibrāhīm, fl. 1473",author,,,human,Muḥammad ibn Ibrāhīm Wafāʼī,Q131386075,DSNAME7069,Q63999
"Wafāʼī, ʻAbd al-ʻAzīz ibn Muḥammad, active 15th century",author,وفائي، عبد العزيز بن محمد، active 15th century,,human,ʻAbd al-ʻAzīz ibn Muḥammad Wafāʼī,Q131398895,DSNAME7715,Q68325
"Waghenaer, Lucas Janszoon 1534 or 5-1606",author,,,human,Lucas Janszoon Waghenaer,Q938869,DSNAME5388,Q41833
"Waghenaer, Lucas Janszoon 1534 or 5-1606.",author,,,human,Lucas Janszoon Waghenaer,Q938869,DSNAME5388,Q41833
"Wahabī, Aḥmad ibn ʻAlī",scribe,وهبي، احمد بن علي.,,human,Aḥmad ibn ʻAlī Wahabī,Q123581787,DSNAME2588,Q18636
"Wahbī, Muḥammad",scribe,وهبي، محمد،,,human,Muḥammad Wahbī,Q124130534,DSNAME3132,Q27919
"Wahbī, ʻAbd Allāh",scribe,وهبي، عبد الله،,,human,ʻAbd Allāh al-Wahbī,Q124130535,DSNAME3199,Q27983
"Waḥdī, Ibrāhīm ibn Muṣṭafá, d. 1714",author,,,human,Ibrāhīm ibn Muṣṭafá Waḥdī,Q129951560,DSNAME6565,Q54196
"Wāḥī, ʻAlī ibn Ibrāhīm, active 18th century",scribe,واحي، علي بن ابراهيم، active 18th century,,human,ʻAlī ibn Ibrāhīm Wāḥī,Q121502809,DSNAME1912,Q12442
"Wāḥidī, Abū al-Ḥasan ʻAlī ibn Aḥmad, -1075 or 1076",author,واحدي ، أبو الحسن علي بن احمد,http://id.loc.gov/authorities/names/n85821906,human,Wāḥidī Nīsābūrī,Q12227985,DSNAME1761,Q12291
"Wāḥidī, Abū al-Ḥasan ʻAlī ibn Aḥmad, -1075 or 1076",author,واحدي ، أبو الحسن علي بن احمد,http://id.loc.gov/authorities/names/n85821906,human,Wāḥidī Nīsābūrī,Q12227985,DSNAME1761,Q12291
"Wake, Henry T",former owner,,,human,Henry Thomas Wake,Q114242492,DSNAME2734,Q20058
"Wake, Henry T.",former owner,,,human,Henry Thomas Wake,Q114242492,DSNAME2734,Q20058
"Waldbott-Bassenheim, Hugo, Graf von",former owner,,,human,Hugo Philipp Waldbott-Bassenheim,Q1682028,DSNAME229,Q833
"Waldeck, Frédéric de, 1766-1875",former owner,,,human,Jean-Frédéric Waldeck,Q956537,DSNAME7421,Q67667
"Waldron, Sherwood",former owner,,,human,Sherwood Waldron,Q124130536,DSNAME3216,Q28000
Walerand ap Adam,author,,,human,Walerand ap Adam,Q114242491,DSNAME1277,Q6156
"Waleys, Thomas, approximately 1287-1350",author,,http://id.loc.gov/authorities/names/nr96019891.html,human,Thomas Waleys,Q7794824,DSNAME2958,Q20270
"Waleys, Thomas, approximately 1287-1350?",author,,http://id.loc.gov/authorities/names/nr96019891.html,human,Thomas Waleys,Q7794824,DSNAME2958,Q20270
"Walī Allāh al-Dihlawī, 1702 or 1703-1762 or 1763",author,ولي الله الدهلوي، 1702 or 1703-1762 or 1763,,human,Shah Waliullah Dehlawi,Q392835,DSNAME6206,Q49077
"Walker, Edward, Sir, 1612-1677",author,,,human,Edward Walker,Q5345777,DSNAME2580,Q17788
"Walker, Fountaine",former owner,,,human,Fountaine Walker,Q75409799,DSNAME7375,Q67621
"Walker, John",former owner,,,human,John Walker,Q122873542,DSNAME2905,Q20221
"Walker, Robert",former owner,,,human,Robert Walker,Q123378494,DSNAME2569,Q17777
"Walker, T. Shadford",former owner,,,human,Thomas Shadford Walker,Q114242411,DSNAME2737,Q20060
"Walker, Thomas Shadford, 1834-1885",former owner,,,human,Thomas Shadford Walker,Q114242411,DSNAME2737,Q20060
"Walker, W. P. Hall",former owner,,,human,W. P. Hall Walker,Q124566974,DSNAME5389,Q41834
"Wall, Herman van de, 1672-1733",former owner,,,human,Hermann van de Wall,Q113821077,DSNAME5390,Q41835
"Wall, Thomas, 1504-1536",former owner,,,human,Thomas Wall,Q98137446,DSNAME8576,Q76688
"Wallace, Walter Thomas",former owner,,,human,Walter Thomas Wallace,Q116784946,DSNAME583,Q1818
"Waller, John, sacristan of Battle Abbey",scribe,,,human,John Waller,Q124380446,DSNAME5391,Q41836
"Wallfahrtskirche zur Heiligsten Dreifaltigkeit (Gössweinstein, Germany)",former owner,,,organization,Basilica Gößweinstein,Q810087,DSNAME1988,Q12802
"Wallfahrtskirche zur Heiligsten Dreifaltigkeit (Gössweinstein, Germany)",former owner,,,organization,Basilica Gößweinstein,Q810087,DSNAME1988,Q12802
"Wallop (Conduit), Catherine, Viscountess Lymington",former owner,,,human,Catherine Conduitt,Q75439560,DSNAME2533,Q17741
"Walsingham, Francis Sir 1530?-90",author,,,human,Francis Walsingham,Q138409,DSNAME5392,Q41837
"Walsingham, Francis Sir 1530?-90.",author,,,human,Francis Walsingham,Q138409,DSNAME5392,Q41837
"Walter, of Châtillon, active 1170-1180",author,,,human,Walter of Châtillon,Q5198,DSNAME2173,Q16481
"Walter, of Châtillon, active 1170-1180",author,,,human,Walter of Châtillon,Q5198,DSNAME2173,Q16481
Walter Burley,author,,,human,Walter Burley,Q1862572,DSNAME3926,Q40371
Walter Hilton,author,,,human,Walter Hilton,Q2213072,DSNAME1303,Q7051
Walter Map,author,,,human,Walter Map,Q431324,DSNAME4750,Q41195
Walter Mapes,author,,,human,Walter Map,Q431324,DSNAME4750,Q41195
Walter of Chatillon,author,,,human,Walter of Châtillon,Q5198,DSNAME2173,Q16481
Walter of Châtillon,author,,,human,Walter of Châtillon,Q5198,DSNAME2173,Q16481
Walter of Châtillon fl. 1170-1180,author,,,human,Walter of Châtillon,Q5198,DSNAME2173,Q16481
Walter of Châtillon fl. 1170-1180.,author,,,human,Walter of Châtillon,Q5198,DSNAME2173,Q16481
Walter of Mortagne,author,,,human,Walter of Mortagne,Q583077,DSNAME407,Q1571
"Walter R. Benjamin Autographs, Inc",former owner,,,organization,Walter Romeyn Benjamin,Q94538169,DSNAME2416,Q16715
Walter Raglan Hubbard (1890),former owner,,,human,Walter Raglan Hubbard,Q114242490,DSNAME2797,Q20116
"Walterus de Valle, active 15th century",scribe,,,human,Walterus de Valle,Q120442589,DSNAME1239,Q6118
"Walton, John d. 1410",author,,,human,John Walton,Q17015548,DSNAME5393,Q41838
"Walton, John d. 1410.",author,,,human,John Walton,Q17015548,DSNAME5393,Q41838
"Wampen, Asher Enshil, ha-Leṿi",scribe,"ווימפן, אשר אנשל, הלוי (מעתיק)",,human,"Asher Enshil Wampen, ha-Levi",Q132798664,DSNAME8409,Q75820
"Wandel, Gudrun, 1882-1976",former owner,,,human,Gudrun Wandel,Q120442590,DSNAME1219,Q6098
"Wandel, Sigurd, 1875-1947",former owner,,,human,Sigurd Wandel,Q18716256,DSNAME1220,Q6099
"Wandel, Sigurd, 1875-2014",former owner,,,human,Sigurd Wandel,Q18716256,DSNAME1220,Q6099
"Wang, Cheng, 1370-1415",author,"王偁, 1370-1415",http://id.loc.gov/authorities/names/nr93015092,human,Wang Cheng,Q45426073,DSNAME2043,Q12852
"Wang, Han, active 14th century",author,"王翰, 14th cent",http://id.loc.gov/authorities/names/n81117472,human,Wang Han,Q16906192,DSNAME2046,Q12855
"Wang, Qiao, 1521-1599",author,"王樵, 1521-1599",http://id.loc.gov/authorities/names/n87855961,human,Wang Qiao,Q45427488,DSNAME2027,Q12836
"Wang, Xing, active 14th century",author,"王行, 14th cent",http://id.loc.gov/authorities/names/n83214571,human,Wang Xing,Q24837460,DSNAME2031,Q12840
"Wang, Zao, 1079-1154",author,"汪藻, 1079-1154",http://id.loc.gov/authorities/names/no2006017114,human,Zao Wang,Q11137143,DSNAME2065,Q12874
"Wānī, Muḥammad ibn Bisṭām, -1684 or 1685",author,,,human,Muḥammad ibn Bisṭām Wānī,Q134705518,DSNAME8689,Q101371
"Wannī, al-Ḥusayn ibn Muḥammad, -1058",author,,,human,al-Ḥusayn ibn Muḥammad Wannī,Q135441888,DSNAME8838,Q103681
"Wansharīsī, Aḥmad ibn Yaḥyá, 1430 or 1431-1508",author,,,human,Abū al-ʻAbbās al-Wansharīsī,Q16117724,DSNAME8777,Q103620
"Wāqidī, Muḥammad ibn ʻUmar, 747 or 748-823",author,,,human,Al-Waqidi,Q285255,DSNAME6971,Q55380
"Ward, George B. active 1922-1933",former owner,,,human,George B. Ward,Q131623198,DSNAME7170,Q67416
"Ward, Richard, 16th century",author,,,human,Richard Ward,Q116650180,DSNAME1703,Q8418
"Ward, T. W., Mrs",former owner,,,human,Bill Ward,Q313699,DSNAME5394,Q41839
"Ward, ʻAbd Allāh ibn ʻAbd al-Walī, active 18th century",author,ورد، عبد الله بن عبد الولي، active 18th century,,human,ʻAbd Allāh ibn ʻAbd al-Walī Ward,Q131398922,DSNAME7796,Q68406
"Warde, Thomas",former owner,,,human,Thomas Warde,Q76362526,DSNAME2494,Q17703
"Warrām al-Ḥillī, -1208",author,,,human,Warram ibn Abi Firas al-Hilli,Q12250865,DSNAME7576,Q67862
"Warrāq, Muḥammad ibn ʻAbd al-ʻAzīz, -1281",author,وراق، محمد بن عبد العزيز، -1281,,human,Muḥammad ibn ʻAbd al-ʻAzīz Warrāq,Q131398867,DSNAME7609,Q68219
"Wasey, George Leigh",former owner,,,human,William George Leigh Wasey,Q75941064,DSNAME2475,Q17684
"Waṣfī, Adʹham Nūrī",former owner,وصفي، ادهم نوري.,,human,Adʹham Nūrī Waṣfī,Q123581788,DSNAME2608,Q18656
"Washburn, G. T.",former owner,,,human,G. T. Washburn,Q133839474,DSNAME8571,Q76685
"Wāsiṭī, Muḥammad ibn Jaysh, active 12th century",scribe,واسطي، محمد بن جيش، active 12th century,,human,Muḥammad ibn Jaysh Wāsiṭī,Q131748524,DSNAME7731,Q68341
Wasservas,former owner,,,human,Wasservas,Q123274821,DSNAME2170,Q16478
"Wassonius, Natalis",scribe,,,human,Natalis Wassonius,Q116650025,DSNAME1444,Q7605
"Waterton, Eadmond, 1830-1887",former owner,,,human,Edmund Waterton,Q5339907,DSNAME5395,Q41840
"Watney, Herbert, 1843-1932",former owner,,,human,Herbert Watney,Q43306374,DSNAME5396,Q41841
"Watney, Vernon James, 1860-1928",former owner,,,human,Vernon James Watney,Q75333510,DSNAME2517,Q17726
"Waugh, Evelyn, 1903-1966",former owner,,,human,Evelyn Waugh,Q107002,DSNAME2579,Q17787
"Wavrin, Jehan de, seigneur du Forestel, active 1415-1471",author,,http://id.loc.gov/authorities/names/n94052036,human,Jean de Wavrin,Q321881,DSNAME4546,Q40991
"Waymouth, George",author,,,human,George Weymouth,Q433305,DSNAME5397,Q41842
"Waymouth, George.",author,,,human,George Weymouth,Q433305,DSNAME5397,Q41842
"Wazīr, Muḥammad ibn Ibrāhīm, active 15th century",author,وزير، محمد بن ابراهيم، active 15th century,,human,Muḥammad Ibn-Ibrāhīm Ibn-al-Wazīr,Q55875600,DSNAME7555,Q67841
"Weaver, Harold Bailie, -1926",former owner,,,human,Harold Baillie Weaver,Q18821788,DSNAME418,Q1582
"Webb, Philip Carteret, 1700-1770",former owner,,http://id.loc.gov/authorities/names/n85214298,human,Philip Carteret Webb,Q7183335,DSNAME5398,Q41843
"Weil, Ernst, 1891-1965",former owner,,,human,Ernst Weil,Q64995013,DSNAME2309,Q16610
"Weil, Yitsḥaḳ Aizeḳ ben Tsadoḳ",author,"ווייל, יצחק איזק בן צדוק",,human,Yitsḥaḳ Aizeḳ ben Tsadoḳ Weil,Q132798615,DSNAME8303,Q75715
"Weiss, Andreas, active 16th century",former owner,,,human,Andreas Weiss,Q127510457,DSNAME6091,Q42783
Weiss & Co. (Firm),former owner,,,organization,Weiss & Co.,Q110558338,DSNAME2157,Q16465
"Welch, Andrew, active 1649-1680",author,,Andrew Welch,human,Andrew Welch,Q124380447,DSNAME5399,Q41844
"Weld, F. M., Jr",former owner,,,human,Francis M. Weld,Q107185532,DSNAME5400,Q41845
"Wells, Gabriel",former owner,,,human,Gabriel Wells,Q17627120,DSNAME296,Q909
"Wells, Gabriel, 1862-1946",former owner,,,human,Gabriel Wells,Q17627120,DSNAME296,Q909
"Wells, Gabriel, 1862-1946",former owner,,http://id.loc.gov/authorities/names/n84017487,human,Gabriel Wells,Q17627120,DSNAME296,Q909
"Wellsted, J. R. -1842",author,,,human,James Raymond Wellsted,Q13519825,DSNAME8167,Q75584
"Wellys, Humphrey",author,,,human,Humphrey Wellys,Q127510480,DSNAME6092,Q42784
"Werner, Nicolaus, 1520-",author,,,human,Nicolaus Werner,Q131623297,DSNAME7266,Q67512
Werner Rolevinck,author,,,human,Werner Rolevinck,Q75631,DSNAME1490,Q7651
Wernigerode (Germany). Rath,author,,,organization,Wernigerode,Q15982,DSNAME1600,Q8091
"Wesbach, Johannes",former owner,,,human,Johannes Wesbach,Q124566975,DSNAME5401,Q41846
Wes Boomgaarden,former owner,,,human,Wesley L. Boomgaarden,Q125930897,DSNAME5875,Q42348
Wesley L. Boomgaarden,former owner,,,human,Wesley L. Boomgaarden,Q125930897,DSNAME5875,Q42348
"West, James, 1703-1772",former owner,,http://id.loc.gov/authorities/names/no2008068193,human,James West,Q6145348,DSNAME5402,Q41847
"Weyhe, Erhard, 1882-1972",former owner,,,human,Erhard Weyhe,Q15808327,DSNAME1989,Q12803
"Wheatland, David P",former owner,,,human,David P. Wheatland,Q120599208,DSNAME5403,Q41848
"Wheeler, Charles V. 1866-1941",former owner,,,human,Charles V. Wheeler,Q120898728,DSNAME5666,Q42139
Wheldon & Wesley,former owner,,,organization,Wheldon & Wesley,Q123285067,DSNAME2333,Q16634
"Whitby Abbey (Whitby, England)",former owner,,,organization,Whitby Abbey,Q1469493,DSNAME5619,Q42064
"White, Alain Campbell, 1880-1951",former owner,,,human,Alain Campbell White,Q117088,DSNAME5404,Q41849
